Price ($),Description,Location,Bedrooms,Bathrooms,Unit Type,Parking,Size (sqft),Website
2295.00,"2 ch + 1,5 bain (4 1/2+) / 2 bed + 1.5 bath à louer à Brossard",Brossard•,2,1.5,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/2-ch-1-5-bain-4-1-2-2-bed-1-5-bath-a-louer-a-brossard/1703985288
1395.00,renovated one bedroom apartment near McGill - ID 1615,City of Montréal•,1,1,Apartment,0,430,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/renovated-one-bedroom-apartment-near-mcgill-id-1615/1734592938
990.00,studio  à louer avec tout inclus et le premier moins gratuit,"Angrignon, City of Montréal•",0,1,Apartment,1,260,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/studio-a-louer-avec-tout-inclus-et-le-premier-moins-gratuit/1735966703
1395.00,"4 1/2,a louer, for rent, 265 riverside, Saint Lambert",Longueuil / South Shore•,2,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/4-1-2-a-louer-for-rent-265-riverside-saint-lambert/1740304051
1150.00,3 ½ au cœur de Laval-Ouest,"Laval-Ouest, Laval-Ouest•",1,1,Apartment,1,450,https://www.kijiji.ca/v-apartments-condos/laval-rive-nord/3-au-coeur-de-laval-ouest/1742126548
1911.00,2 MOIS GRATUITS – CESSION DE BAIL – MELLEM GRACE DART – 1 911,"New Rosemont, Montreal•",1,1,Apartment,0,598,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/2-mois-gratuits-cession-de-bail-mellem-grace-dart-1-911/1742295073
1615.00,4 1/2 sur 2 étage ,"Iberville, Longueuil / South Shore•",2,2,Apartment,1,1200,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/4-1-2-sur-2-etage/1742324698
1230.00,Fully furnished 2 1/2 condo Guy Concordia available Sep.1,"sector M, Brossard•",1,1,Condo,0,580,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/fully-furnished-2-1-2-condo-guy-concordia-available-sep-1/1742324578
1400.00,Downtown Montreal Condo/Condo Centre-Ville de Montréal,"Golden Square Mile, Montréal•",1,1,Condo,0,592,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/downtown-montreal-condo-condo-centre-ville-de-montreal/1742324061
1890.00,3/2 à louer- Downtown Montréal,"Quartier-des-Spectacles, City of Montréal•",1,1,Condo,0,415,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-2-a-louer-downtown-montreal/1740148220
900.00,"Appartement studio tout inclus à louer – Ahuntsic, Montréal","Cartierville, Montréal•",0,1,Apartment,0,250,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/appartement-studio-tout-inclus-a-louer-ahuntsic-montreal/1740861736
1450.00,4 1/2 haut triplex 2 chambres fermées Ahuntsic Métro Crémazie,"Saint-Simon, Montréal•",2,1,Apartment,0,850,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/4-1-2-haut-triplex-2-chambres-fermees-ahuntsic-metro-cremazie/1741201896
600.00,CHAMBRE A LOUER,"Notre-Dame-de-la-Garde, Longueuil•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/longueuil-rive-sud/chambre-a-louer/1739272578
2350.00,Condo 4 1/2 à louer au cœur du Plateau Mont-Royal,"Parc-Lafontaine, Montreal•",2,1,Condo,0,800,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/condo-4-1-2-a-louer-au-coeur-du-plateau-mont-royal/1742323780
1540.00,condo a louer,"Hochelaga-Maisonneuve, City of Montréal•",1,1,Condo,0,704,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/condo-a-louer/1742323767
1300.00,Appartement moderne à Ahuntsic Montreal,"Cartierville, Montréal•",1,1,Apartment,0,400,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/appartement-moderne-a-ahuntsic-montreal/1711953120
1450.00,Verdun Ouest Quatre et Demi au Rez de Chaussé (Bas) à Louer,"Desmarchais-Crawford, Montréal•",2,1,Apartment,0,700,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/verdun-ouest-quatre-et-demi-au-rez-de-chausse-bas-a-louer/1742323449
1845.00,Appartement 5.5 a louer Lasalle,"Angrignon, Montréal•",3,1,Apartment,0,1200,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/appartement-5-5-a-louer-lasalle/1742323269
690.00,"HEC, UdeM,Concordia ","Côte-des-Neiges, City of Montréal•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/ville-de-montreal/hec-udem-concordia/1742323161
1650.00,Tres grand 4 1/2 à louer rénové et propre,"Saint-Leonard West, Montréal•",2,1,Apartment,1,900,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/tres-grand-4-1-2-a-louer-renove-et-propre/1742323139
750.00,"Chambre meublée non-fum. 1 coloc-25 08-750$-métro, plaza,2 parcs","Ville-Émard, Montreal•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/ville-de-montreal/chambre-meublee-non-fum-1-coloc-25-08-750-metro-plaza-2-parcs/1742322960
1075.00,Transfert de bail appartement 3 1/2 pour le 1er Septembre,"Côte-Saint-Paul, Montréal•",1,1,Apartment,0,322,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/transfert-de-bail-appartement-3-1-2-pour-le-1er-septembre/1741476997
1350.00,3 1/2 available October 1st,"Westwood Park, City of Montréal•",1,1,Apartment,1,500,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-1-2-available-october-1st/1742322700
1980.00,5 1/2 3 bedroom appartement Verdun,"Verdun, Montreal•",3,1,Apartment,1,900,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/5-1-2-3-bedroom-appartement-verdun/1740922614
850.00,Room 850$ Metro Jolicoeur,"Côte-Saint-Paul, Montreal•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/ville-de-montreal/room-850-metro-jolicoeur/1737231140
1450.00,Appartement 4 1/2,"Mercier, West Island•",2,1,Apartment,2,850,https://www.kijiji.ca/v-apartments-condos/ouest-de-lile-qc/appartement-4-1-2/1742322522
2330.00,"Grand 7½ à Ahuntsic – 4 chambres, garage – Libre 1er novembre","Ahuntsic, Montreal•",4,2.5,Apartment,2,2200,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/grand-7-a-ahuntsic-4-chambres-garage-libre-1er-novembre/1742322422
1500.00,BROSSARD | Charmant 3½ dans Secteur C | Près de tout!,"sector C, Brossard•",1,1,Condo,1,650,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/brossard-charmant-3-dans-secteur-c-pres-de-tout/1742322416
