Listing ID,Price ($),Description,Location,Bedrooms,Bathrooms,Unit Type,Parking,Size (sqft),Website
1739049717,"1,495.00","3.5, 1 chambre, for rent, à,louer, St-Laurent, Saint Laurent",Saint Laurent,1,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-5-1-chambre-for-rent-a-louer-st-laurent-saint-laurent/1739049717
1742681754,Please Contact,Appartement à louer Côte-des-Neiges h3s1x5,"Côte-des-Neiges, Montreal",1,1,Apartment,0,80,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/appartement-a-louer-cote-des-neiges-h3s1x5/1742681754
1742734018,119.00,3 1/2 beau  renove  locataire de choix un mois gratuit,"Parc-Extension, Villeray—Saint-Michel—Parc-Extension",1,1,Apartment,0,750,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-1-2-beau-renove-locataire-de-choix-un-mois-gratuit/1742734018
434748894,"1,500.00","West island short term rental, $1500/monthly, Dorval, Studio ava","Pointe Picard, City of Montréal",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-short-term-rental/ville-de-montreal/west-island-short-term-rental-1500-monthly-dorval-studio-ava/434748894
1709551308,"1,570.00",3.5 condo appartement a louer Ville Saint Laurent-Leora,City of Montréal,1,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-5-condo-appartement-a-louer-ville-saint-laurent-leora/1709551308
1725503705,"1,295.00","3 1/2, 1 chambre, ,louer,rent,downtown",Montreal,0,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-1-2-1-chambre-louer-rent-downtown/1725503705
1742870014,"1,200.00",Demi-sous-Sol Calme et Tout Inclus à Deux Pas du Métro Longueuil,"Saint-Jude, Longueuil",0,1,Basement,0,200,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/demi-sous-sol-calme-et-tout-inclus-a-deux-pas-du-metro-longueuil/1742870014
1742869938,"1,650.00","Spacieux et ensoleillé 2 chambres Apt à Rosemont, prè Plateau","La Petite-Patrie, Montreal",2,1,Apartment,0,700,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/spacieux-et-ensoleille-2-chambres-apt-a-rosemont-pre-plateau/1742869938
1704543859,"1,390.00",3 1/2 Large and Spacious apartment Southwest One West Island,West Island,1,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ouest-de-lile-qc/3-1-2-large-and-spacious-apartment-southwest-one-west-island/1704543859
1742307442,"2,475.00",️ Logement haut de gamme à louer à  Ville Sainte-Catherine,"Sainte-Catherine, Sainte-Catherine",2,1,Apartment,1,1018,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/logement-haut-de-gamme-a-louer-a-ville-sainte-catherine/1742307442
1738158976,Please Contact,Le Bleau - Condos Locatifs au bord de l'eau à Laval,"Saint-Vincent-de-Paul, Laval",1,1,Condo,1,568,https://www.kijiji.ca/v-apartments-condos/laval-rive-nord/le-bleau-condos-locatifs-au-bord-de-leau-a-laval/1738158976
1742028491,"1,580.00",Lease Transfer - 2 bedroom (4½) in Ahuntsic (FIRST MONTH FREE),"Ahuntsic, Montreal",2,1,Apartment,0,800,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/lease-transfer-2-bedroom-4-in-ahuntsic-first-month-free/1742028491
1742869338,"1,795.00",Brossard Renovated Condo 4 1/2 with balcony,"sector B, Brossard",2,1,Apartment,1,1075,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/brossard-renovated-condo-4-1-2-with-balcony/1742869338
1742869201,"1,600.00",3 1/2 metro Côte-des-Neiges *HOT WATER & HEATING INCLUDED*,"Côte-des-Neiges, Montreal",1,1,Apartment,0,750,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-1-2-metro-cote-des-neiges-hot-water-heating-included/1742869201
